Text,POS_Tags,Sentiment_Scores,Sentiment_Labels
“@Samiakashmiri7 Oppo f9 Kamal ha mare pas be ya he han.....”,"[('“', 'JJ'), ('@', 'NNP'), ('Samiakashmiri7', 'NNP'), ('Oppo', 'NNP'), ('f9', 'NN'), ('Kamal', 'NNP'), ('ha', 'NN'), ('mare', 'NN'), ('pas', 'NN'), ('be', 'VB'), ('ya', 'CC'), ('he', 'PRP'), ('han', 'VBZ'), ('.....', 'CD'), ('”', 'NN')]",0.008928571428571428,Positive
"“#OPPOF9inKenya In terms of photography, the major advantages of OPPO F9 are color saturation level, low light photography, and selfie.”","[('“', 'RB'), ('#', '#'), ('OPPOF9inKenya', 'NNP'), ('In', 'IN'), ('terms', 'NNS'), ('of', 'IN'), ('photography', 'NN'), (',', ','), ('the', 'DT'), ('major', 'JJ'), ('advantages', 'NNS'), ('of', 'IN'), ('OPPO', 'NNP'), ('F9', 'NNP'), ('are', 'VBP'), ('color', 'JJ'), ('saturation', 'NN'), ('level', 'NN'), (',', ','), ('low', 'JJ'), ('light', 'NN'), ('photography', 'NN'), (',', ','), ('and', 'CC'), ('selfie', 'NN'), ('.', '.'), ('”', 'NN')]",-0.03860620762216506,Negative
“@geekyranjit I worked in social media based institute so my battery is always very down so if I get Oppo F9 pro I will use it's vooc charging feature to use is as the best level”,"[('“', 'JJ'), ('@', 'NNP'), ('geekyranjit', 'NN'), ('I', 'PRP'), ('worked', 'VBD'), ('in', 'IN'), ('social', 'JJ'), ('media', 'NNS'), ('based', 'VBN'), ('institute', 'NN'), ('so', 'IN'), ('my', 'PRP$'), ('battery', 'NN'), ('is', 'VBZ'), ('always', 'RB'), ('very', 'RB'), ('down', 'RB'), ('so', 'RB'), ('if', 'IN'), ('I', 'PRP'), ('get', 'VBP'), ('Oppo', 'JJ'), ('F9', 'NNP'), ('pro', 'FW'), ('I', 'PRP'), ('will', 'MD'), ('use', 'VB'), ('it', 'PRP'), (""'s"", 'VBZ'), ('vooc', 'JJ'), ('charging', 'VBG'), ('feature', 'NN'), ('to', 'TO'), ('use', 'VB'), ('is', 'VBZ'), ('as', 'IN'), ('the', 'DT'), ('best', 'JJS'), ('level', 'NN'), ('”', 'NN')]",0.6542602282805771,Positive
“@TechnicalGuruji Oppo F9 Pro VOOC charging is next level... Sometimes after a full day at work I have to switch off my phone to use it later... Now thanks to oppo I will get a good battery life phone with VOOC charging... Cool..ðŸ˜Ž”,"[('“', 'JJ'), ('@', 'NNP'), ('TechnicalGuruji', 'NNP'), ('Oppo', 'NNP'), ('F9', 'NNP'), ('Pro', 'NNP'), ('VOOC', 'NNP'), ('charging', 'NN'), ('is', 'VBZ'), ('next', 'JJ'), ('level', 'NN'), ('...', ':'), ('Sometimes', 'RB'), ('after', 'IN'), ('a', 'DT'), ('full', 'JJ'), ('day', 'NN'), ('at', 'IN'), ('work', 'NN'), ('I', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('switch', 'VB'), ('off', 'RP'), ('my', 'PRP$'), ('phone', 'NN'), ('to', 'TO'), ('use', 'VB'), ('it', 'PRP'), ('later', 'RB'), ('...', ':'), ('Now', 'RB'), ('thanks', 'VBZ'), ('to', 'TO'), ('oppo', 'VB'), ('I', 'PRP'), ('will', 'MD'), ('get', 'VB'), ('a', 'DT'), ('good', 'JJ'), ('battery', 'NN'), ('life', 'NN'), ('phone', 'NN'), ('with', 'IN'), ('VOOC', 'NNP'), ('charging', 'VBG'), ('...', ':'), ('Cool', 'NNP'), ('..', 'NNP'), ('ðŸ˜Ž', 'NNP'), ('”', 'NN')]",0.24268871037253387,Positive
“@Sir kamal ka phone h oppo F9 pro aur iska vooc charging to bahut kamal ka hai”,"[('“', 'JJ'), ('@', 'NNP'), ('Sir', 'NNP'), ('kamal', 'NNP'), ('ka', 'NNP'), ('phone', 'NN'), ('h', 'NN'), ('oppo', 'NN'), ('F9', 'NNP'), ('pro', 'FW'), ('aur', 'FW'), ('iska', 'NN'), ('vooc', 'NN'), ('charging', 'VBG'), ('to', 'TO'), ('bahut', 'VB'), ('kamal', 'JJ'), ('ka', 'NN'), ('hai', 'NN'), ('”', 'NN')]",-0.04,Negative
"“Haptics and speakers. Both phones have stereo speakers. But... just one phone has great haptics... and that is Note10+. To be honest: haptics on S20FE suck. My S9+ has better haptics, my Note10+ has 10 times better haptics. S20FE is almost on that bz bz bzzzzz level of haptics.”","[('“', 'JJ'), ('Haptics', 'NNP'), ('and', 'CC'), ('speakers', 'NNS'), ('.', '.'), ('Both', 'DT'), ('phones', 'NNS'), ('have', 'VBP'), ('stereo', 'VBN'), ('speakers', 'NNS'), ('.', '.'), ('But', 'CC'), ('...', ':'), ('just', 'RB'), ('one', 'CD'), ('phone', 'NN'), ('has', 'VBZ'), ('great', 'JJ'), ('haptics', 'NNS'), ('...', ':'), ('and', 'CC'), ('that', 'DT'), ('is', 'VBZ'), ('Note10+', 'NNP'), ('.', '.'), ('To', 'TO'), ('be', 'VB'), ('honest', 'JJ'), (':', ':'), ('haptics', 'NNS'), ('on', 'IN'), ('S20FE', 'NNP'), ('suck', 'NN'), ('.', '.'), ('My', 'PRP$'), ('S9+', 'NNP'), ('has', 'VBZ'), ('better', 'JJR'), ('haptics', 'NNS'), (',', ','), ('my', 'PRP$'), ('Note10+', 'NNP'), ('has', 'VBZ'), ('10', 'CD'), ('times', 'NNS'), ('better', 'RBR'), ('haptics', 'NNS'), ('.', '.'), ('S20FE', 'NNP'), ('is', 'VBZ'), ('almost', 'RB'), ('on', 'IN'), ('that', 'DT'), ('bz', 'NN'), ('bz', 'VBD'), ('bzzzzz', 'JJ'), ('level', 'NN'), ('of', 'IN'), ('haptics', 'NNS'), ('.', '.'), ('”', 'NN')]",1.9477938504632621,Positive
“Samsung Galaxy Note 10.1 is freakinggggg awsm ... bt 10.1 is really a large screen to carry ... 9 inches wud hv been gud”,"[('“', 'NN'), ('Samsung', 'NNP'), ('Galaxy', 'NNP'), ('Note', 'NNP'), ('10.1', 'CD'), ('is', 'VBZ'), ('freakinggggg', 'JJ'), ('awsm', 'NN'), ('...', ':'), ('bt', 'NN'), ('10.1', 'CD'), ('is', 'VBZ'), ('really', 'RB'), ('a', 'DT'), ('large', 'JJ'), ('screen', 'NN'), ('to', 'TO'), ('carry', 'VB'), ('...', ':'), ('9', 'CD'), ('inches', 'NNS'), ('wud', 'JJ'), ('hv', 'VBP'), ('been', 'VBN'), ('gud', 'JJ'), ('”', 'NN')]",0.5834441853877829,Positive
“@SamsungMobileIN  samsung s9 plus sbse faltu bekar  ghatia phone  sirf 2 month me display problem hone lga”,"[('“', 'JJ'), ('@', 'NNP'), ('SamsungMobileIN', 'NNP'), ('samsung', 'VBD'), ('s9', 'JJ'), ('plus', 'CC'), ('sbse', 'JJ'), ('faltu', 'NN'), ('bekar', 'NN'), ('ghatia', 'NN'), ('phone', 'NN'), ('sirf', 'VBD'), ('2', 'CD'), ('month', 'NN'), ('me', 'PRP'), ('display', 'VBP'), ('problem', 'NN'), ('hone', 'NN'), ('lga', 'NN'), ('”', 'NN')]",0.10937499999999997,Positive
"“Samsung  Galaxy  j4  phone  koi  bhi  mat  lena  a  phone  ekdum  bakwas  hai
#samsung”","[('“', 'NN'), ('Samsung', 'NNP'), ('Galaxy', 'NNP'), ('j4', 'NN'), ('phone', 'NN'), ('koi', 'NN'), ('bhi', 'NN'), ('mat', 'NN'), ('lena', 'VBZ'), ('a', 'DT'), ('phone', 'NN'), ('ekdum', 'NN'), ('bakwas', 'NN'), ('hai', 'NN'), ('#', '#'), ('samsung', 'NN'), ('”', 'NN')]",-0.08035714285714285,Negative
“@SamsungMobile samsung galaxy j2 pro sucks as its not generating the Jio offer code.. ekdum bekar phone”,"[('“', 'JJ'), ('@', 'NNP'), ('SamsungMobile', 'NNP'), ('samsung', 'NN'), ('galaxy', 'NN'), ('j2', 'JJ'), ('pro', 'JJ'), ('sucks', 'NNS'), ('as', 'IN'), ('its', 'PRP$'), ('not', 'RB'), ('generating', 'VBG'), ('the', 'DT'), ('Jio', 'NNP'), ('offer', 'NN'), ('code', 'NN'), ('..', 'NNP'), ('ekdum', 'NN'), ('bekar', 'NN'), ('phone', 'NN'), ('”', 'NN')]",-0.6890625,Negative
